Grass,Prey,Predator
2404294,801,522
2401594,805,520
2398547,805,522
2395287,804,521
2391547,804,526
2388282,803,530
2385305,804,530
2381841,799,538
2378852,799,541
2375439,802,542
2372703,806,545
2369678,808,548
2366516,807,547
2362933,805,547
2359871,802,553
2356208,801,554
2352018,796,557
2347976,795,559
2344145,794,563
2339543,796,565
2334479,801,568
2329318,801,570
2325482,801,572
2321214,807,573
2315441,808,573
2309733,812,576
2304528,814,577
2300903,815,576
2297021,817,575
2291958,817,579
2287173,819,580
2282506,827,579
2277692,828,581
2272936,828,584
2267738,829,584
2262552,834,587
2256740,830,586
2250227,838,586
2243399,840,586
2236766,840,591
2229408,845,592
2222483,851,593
2214770,853,590
2208050,855,590
2200797,857,591
2194320,862,590
2187686,862,588
2181929,865,588
2175503,868,588
2170337,868,592
2165523,870,590
2160698,875,592
2156211,873,592
2151534,872,596
2147843,875,597
2143598,875,596
2138831,876,598
2133525,875,602
2127086,878,605
2120506,879,607
2113952,881,605
2108445,885,606
2102530,886,605
2097814,887,605
2093912,888,609
2090545,888,613
2087009,887,614
2083253,886,621
2079384,887,626
2074615,888,628
2069921,886,630
2064142,887,631
2059613,890,632
2054766,889,635
2049598,891,637
2044150,893,636
2039265,891,637
2033430,895,639
2027485,904,641
2020109,906,642
2013633,906,642
2008073,910,642
2001373,912,642
1994106,916,646
1987435,915,644
1980840,921,643
1973699,922,645
1966357,925,646
1958377,927,647
1950652,934,648
1943293,935,650
1934598,936,648
1925979,940,646
1915973,947,645
1906108,950,647
1895040,955,644
1884642,957,646
1873855,963,649
1864367,959,656
1855021,957,661
1846355,953,669
1838718,956,671
1830918,961,675
1823381,959,680
1816304,964,680
1809350,967,680
1802363,970,679
1796698,968,682
1790770,968,680
1784900,975,679
